filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
user76_2833.jpg,102940,"{}",33,0,"{""name"":""rect"",""x"":51,""y"":154,""width"":50,""height"":54}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,1,"{""name"":""rect"",""x"":145,""y"":157,""width"":37,""height"":50}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,2,"{""name"":""rect"",""x"":25,""y"":207,""width"":47,""height"":31}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,3,"{""name"":""rect"",""x"":80,""y"":212,""width"":43,""height"":32}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,4,"{""name"":""rect"",""x"":123,""y"":207,""width"":45,""height"":37}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,5,"{""name"":""rect"",""x"":175,""y"":173,""width"":56,""height"":55}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,6,"{""name"":""rect"",""x"":230,""y"":188,""width"":56,""height"":42}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,7,"{""name"":""rect"",""x"":295,""y"":195,""width"":44,""height"":35}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,8,"{""name"":""rect"",""x"":337,""y"":193,""width"":40,""height"":39}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,9,"{""name"":""rect"",""x"":378,""y"":192,""width"":37,""height"":40}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,10,"{""name"":""rect"",""x"":297,""y"":235,""width"":43,""height"":33}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,11,"{""name"":""rect"",""x"":341,""y"":234,""width"":36,""height"":33}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,12,"{""name"":""rect"",""x"":379,""y"":232,""width"":41,""height"":35}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,13,"{""name"":""rect"",""x"":291,""y"":277,""width"":51,""height"":39}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,14,"{""name"":""rect"",""x"":341,""y"":277,""width"":38,""height"":38}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,15,"{""name"":""rect"",""x"":378,""y"":277,""width"":43,""height"":44}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,16,"{""name"":""rect"",""x"":473,""y"":36,""width"":39,""height"":33}","{""type"":""Poster/wall hanging""}"
user76_2833.jpg,102940,"{}",33,17,"{""name"":""rect"",""x"":477,""y"":77,""width"":33,""height"":33}","{""type"":""Poster/wall hanging""}"
user76_2833.jpg,102940,"{}",33,18,"{""name"":""rect"",""x"":475,""y"":120,""width"":39,""height"":57}","{""type"":""Poster/wall hanging""}"
user76_2833.jpg,102940,"{}",33,19,"{""name"":""rect"",""x"":545,""y"":193,""width"":47,""height"":32}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,20,"{""name"":""rect"",""x"":590,""y"":189,""width"":48,""height"":35}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,21,"{""name"":""rect"",""x"":543,""y"":237,""width"":45,""height"":41}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,22,"{""name"":""rect"",""x"":587,""y"":238,""width"":35,""height"":41}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,23,"{""name"":""rect"",""x"":625,""y"":230,""width"":44,""height"":43}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,24,"{""name"":""rect"",""x"":543,""y"":281,""width"":50,""height"":37}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,25,"{""name"":""rect"",""x"":593,""y"":279,""width"":39,""height"":41}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,26,"{""name"":""rect"",""x"":640,""y"":279,""width"":37,""height"":35}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,27,"{""name"":""rect"",""x"":636,""y"":315,""width"":121,""height"":127}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,28,"{""name"":""rect"",""x"":769,""y"":202,""width"":57,""height"":40}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,29,"{""name"":""rect"",""x"":821,""y"":192,""width"":54,""height"":41}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,30,"{""name"":""rect"",""x"":874,""y"":177,""width"":38,""height"":63}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,31,"{""name"":""rect"",""x"":907,""y"":158,""width"":52,""height"":81}","{""type"":""Book""}"
user76_2833.jpg,102940,"{}",33,32,"{""name"":""rect"",""x"":921,""y"":244,""width"":37,""height"":41}","{""type"":""Book""}"
user77_3501.jpg,69115,"{}",5,0,"{""name"":""rect"",""x"":265,""y"":158,""width"":258,""height"":184}","{""type"":""Poster/wall hanging""}"
user77_3501.jpg,69115,"{}",5,1,"{""name"":""rect"",""x"":557,""y"":7,""width"":61,""height"":61}","{""type"":""Book""}"
user77_3501.jpg,69115,"{}",5,2,"{""name"":""rect"",""x"":658,""y"":78,""width"":63,""height"":57}","{""type"":""Poster/wall hanging""}"
user77_3501.jpg,69115,"{}",5,3,"{""name"":""rect"",""x"":764,""y"":71,""width"":65,""height"":65}","{""type"":""Poster/wall hanging""}"
user77_3501.jpg,69115,"{}",5,4,"{""name"":""rect"",""x"":536,""y"":286,""width"":157,""height"":106}","{""type"":""Object""}"
user79_3507.jpg,62756,"{""review"":{""Needs review"":true}}",4,0,"{""name"":""rect"",""x"":168,""y"":14,""width"":195,""height"":161}","{""type"":""Poster/wall hanging""}"
user79_3507.jpg,62756,"{""review"":{""Needs review"":true}}",4,1,"{""name"":""rect"",""x"":80,""y"":202,""width"":108,""height"":150}","{""type"":""Poster/wall hanging""}"
user79_3507.jpg,62756,"{""review"":{""Needs review"":true}}",4,2,"{""name"":""rect"",""x"":427,""y"":184,""width"":96,""height"":106}","{""type"":""Object""}"
user79_3507.jpg,62756,"{""review"":{""Needs review"":true}}",4,3,"{""name"":""rect"",""x"":600,""y"":31,""width"":106,""height"":134}","{""type"":""Poster/wall hanging""}"
user79_3508.jpg,65672,"{}",7,0,"{""name"":""rect"",""x"":27,""y"":1,""width"":61,""height"":87}","{""type"":""Book""}"
user79_3508.jpg,65672,"{}",7,1,"{""name"":""rect"",""x"":30,""y"":153,""width"":59,""height"":79}","{""type"":""Book""}"
user79_3508.jpg,65672,"{}",7,2,"{""name"":""rect"",""x"":94,""y"":64,""width"":57,""height"":97}","{""type"":""Book""}"
user79_3508.jpg,65672,"{}",7,3,"{""name"":""rect"",""x"":96,""y"":210,""width"":52,""height"":76}","{""type"":""Book""}"
user79_3508.jpg,65672,"{}",7,4,"{""name"":""rect"",""x"":260,""y"":40,""width"":203,""height"":155}","{""type"":""Poster/wall hanging""}"
user79_3508.jpg,65672,"{}",7,5,"{""name"":""rect"",""x"":522,""y"":29,""width"":94,""height"":136}","{""type"":""Poster/wall hanging""}"
user79_3508.jpg,65672,"{}",7,6,"{""name"":""rect"",""x"":496,""y"":207,""width"":58,""height"":111}","{""type"":""Object""}"
user79_3509.jpg,44499,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[201,648,646,395,258,202],""all_points_y"":[6,4,69,161,96,53]}","{""type"":""Poster/wall hanging""}"
user79_3509.jpg,44499,"{}",3,1,"{""name"":""rect"",""x"":49,""y"":119,""width"":91,""height"":76}","{""type"":""Object""}"
user79_3509.jpg,44499,"{}",3,2,"{""name"":""rect"",""x"":496,""y"":161,""width"":118,""height"":158}","{""type"":""Poster/wall hanging""}"
user80_4710.jpg,78662,"{""review"":{""Needs review"":true}}",2,0,"{""name"":""rect"",""x"":527,""y"":62,""width"":138,""height"":168}","{""type"":""Poster/wall hanging""}"
user80_4710.jpg,78662,"{""review"":{""Needs review"":true}}",2,1,"{""name"":""rect"",""x"":576,""y"":289,""width"":119,""height"":101}","{""type"":""Object""}"
user81_2848.jpg,205841,"{}",20,0,"{""name"":""rect"",""x"":64,""y"":97,""width"":416,""height"":122}","{""type"":""Poster/wall hanging""}"
